# x, y, gas saturation, co2 concentration 
3.500000e-02, 3.500000e-02, 0.000000e+00, 7.986673e-01 
4.500000e-02, 3.500000e-02, 0.000000e+00, 8.058720e-01 
5.500000e-02, 3.500000e-02, 0.000000e+00, 8.084268e-01 
6.500000e-02, 3.500000e-02, 0.000000e+00, 8.091922e-01 
7.500000e-02, 3.500000e-02, 0.000000e+00, 8.088830e-01 
8.500000e-02, 3.500000e-02, 0.000000e+00, 8.079536e-01 
9.500000e-02, 3.500000e-02, 0.000000e+00, 8.068169e-01 
1.050000e-01, 3.500000e-02, 0.000000e+00, 8.058441e-01 
1.150000e-01, 3.500000e-02, 0.000000e+00, 8.053240e-01 
1.250000e-01, 3.500000e-02, 0.000000e+00, 8.054476e-01 
1.350000e-01, 3.500000e-02, 0.000000e+00, 8.063233e-01 
1.450000e-01, 3.500000e-02, 0.000000e+00, 8.080000e-01 
1.550000e-01, 3.500000e-02, 0.000000e+00, 8.104731e-01 
1.650000e-01, 3.500000e-02, 0.000000e+00, 8.136694e-01 
1.750000e-01, 3.500000e-02, 0.000000e+00, 8.174223e-01 
1.850000e-01, 3.500000e-02, 0.000000e+00, 8.214842e-01 
1.950000e-01, 3.500000e-02, 0.000000e+00, 8.255489e-01 
2.050000e-01, 3.500000e-02, 0.000000e+00, 8.293071e-01 
2.150000e-01, 3.500000e-02, 0.000000e+00, 8.325493e-01 
2.250000e-01, 3.500000e-02, 0.000000e+00, 8.352526e-01 
2.350000e-01, 3.500000e-02, 0.000000e+00, 8.376092e-01 
2.450000e-01, 3.500000e-02, 0.000000e+00, 8.399590e-01 
2.550000e-01, 3.500000e-02, 0.000000e+00, 8.426198e-01 
2.650000e-01, 3.500000e-02, 0.000000e+00, 8.457012e-01 
2.750000e-01, 3.500000e-02, 0.000000e+00, 8.491437e-01 
2.850000e-01, 3.500000e-02, 0.000000e+00, 8.527851e-01 
2.950000e-01, 3.500000e-02, 0.000000e+00, 8.564287e-01 
3.050000e-01, 3.500000e-02, 0.000000e+00, 8.599680e-01 
3.150000e-01, 3.500000e-02, 0.000000e+00, 8.633831e-01 
3.250000e-01, 3.500000e-02, 0.000000e+00, 8.666897e-01 
3.350000e-01, 3.500000e-02, 0.000000e+00, 8.698299e-01 
3.450000e-01, 3.500000e-02, 0.000000e+00, 8.724359e-01 
3.550000e-01, 3.500000e-02, 0.000000e+00, 8.744550e-01 
3.650000e-01, 3.500000e-02, 0.000000e+00, 8.758580e-01 
3.750000e-01, 3.500000e-02, 0.000000e+00, 8.765874e-01 
3.850000e-01, 3.500000e-02, 0.000000e+00, 8.764799e-01 
3.950000e-01, 3.500000e-02, 0.000000e+00, 8.751196e-01 
4.050000e-01, 3.500000e-02, 0.000000e+00, 8.721229e-01 
4.150000e-01, 3.500000e-02, 0.000000e+00, 8.722829e-01 
4.250000e-01, 3.500000e-02, 0.000000e+00, 8.912988e-01 
4.350000e-01, 3.500000e-02, 0.000000e+00, 9.093906e-01 
4.450000e-01, 3.500000e-02, 0.000000e+00, 9.176053e-01 
4.550000e-01, 3.500000e-02, 0.000000e+00, 9.206050e-01 
4.650000e-01, 3.500000e-02, 0.000000e+00, 9.239432e-01 
4.750000e-01, 3.500000e-02, 0.000000e+00, 9.287896e-01 
4.850000e-01, 3.500000e-02, 0.000000e+00, 9.318521e-01 
4.950000e-01, 3.500000e-02, 0.000000e+00, 9.346628e-01 
5.050000e-01, 3.500000e-02, 0.000000e+00, 9.371009e-01 
5.150000e-01, 3.500000e-02, 0.000000e+00, 9.390211e-01 
5.250000e-01, 3.500000e-02, 0.000000e+00, 9.403846e-01 
5.350000e-01, 3.500000e-02, 0.000000e+00, 9.409744e-01 
5.450000e-01, 3.500000e-02, 0.000000e+00, 9.409458e-01 
5.550000e-01, 3.500000e-02, 0.000000e+00, 9.403947e-01 
5.650000e-01, 3.500000e-02, 0.000000e+00, 9.394153e-01 
5.750000e-01, 3.500000e-02, 0.000000e+00, 9.381190e-01 
5.850000e-01, 3.500000e-02, 0.000000e+00, 9.365935e-01 
5.950000e-01, 3.500000e-02, 0.000000e+00, 9.349070e-01 
6.050000e-01, 3.500000e-02, 0.000000e+00, 9.330897e-01 
6.150000e-01, 3.500000e-02, 0.000000e+00, 9.310643e-01 
6.250000e-01, 3.500000e-02, 0.000000e+00, 9.288354e-01 
6.350000e-01, 3.500000e-02, 0.000000e+00, 9.263448e-01 
6.450000e-01, 3.500000e-02, 0.000000e+00, 9.234515e-01 
6.550000e-01, 3.500000e-02, 0.000000e+00, 9.201318e-01 
6.650000e-01, 3.500000e-02, 0.000000e+00, 9.162065e-01 
6.750000e-01, 3.500000e-02, 0.000000e+00, 9.117343e-01 
6.850000e-01, 3.500000e-02, 0.000000e+00, 9.065517e-01 
6.950000e-01, 3.500000e-02, 0.000000e+00, 8.975701e-01 
7.050000e-01, 3.500000e-02, 0.000000e+00, 8.935689e-01 
7.150000e-01, 3.500000e-02, 0.000000e+00, 9.219781e-01 
7.250000e-01, 3.500000e-02, 0.000000e+00, 9.417057e-01 
7.350000e-01, 3.500000e-02, 0.000000e+00, 9.452904e-01 
7.450000e-01, 3.500000e-02, 0.000000e+00, 9.506096e-01 
7.550000e-01, 3.500000e-02, 0.000000e+00, 9.567164e-01 
7.650000e-01, 3.500000e-02, 0.000000e+00, 9.618473e-01 
7.750000e-01, 3.500000e-02, 0.000000e+00, 9.662765e-01 
7.850000e-01, 3.500000e-02, 0.000000e+00, 9.703009e-01 
7.950000e-01, 3.500000e-02, 0.000000e+00, 9.740150e-01 
8.050000e-01, 3.500000e-02, 0.000000e+00, 9.774674e-01 
8.150000e-01, 3.500000e-02, 0.000000e+00, 9.806958e-01 
8.250000e-01, 3.500000e-02, 0.000000e+00, 9.837268e-01 
8.350000e-01, 3.500000e-02, 0.000000e+00, 9.865724e-01 
8.450000e-01, 3.500000e-02, 0.000000e+00, 9.892216e-01 
8.550000e-01, 3.500000e-02, 0.000000e+00, 9.916301e-01 
8.650000e-01, 3.500000e-02, 0.000000e+00, 9.937163e-01 
8.750000e-01, 3.500000e-02, 0.000000e+00, 9.953846e-01 
8.850000e-01, 3.500000e-02, 0.000000e+00, 9.965629e-01 
8.950000e-01, 3.500000e-02, 0.000000e+00, 9.972219e-01 
9.050000e-01, 3.500000e-02, 0.000000e+00, 9.973697e-01 
9.150000e-01, 3.500000e-02, 0.000000e+00, 9.970333e-01 
9.250000e-01, 3.500000e-02, 0.000000e+00, 9.962437e-01 
9.350000e-01, 3.500000e-02, 0.000000e+00, 9.950236e-01 
9.450000e-01, 3.500000e-02, 0.000000e+00, 9.933822e-01 
9.550000e-01, 3.500000e-02, 0.000000e+00, 9.913224e-01 
9.650000e-01, 3.500000e-02, 0.000000e+00, 9.888450e-01 
9.750000e-01, 3.500000e-02, 0.000000e+00, 9.859208e-01 
9.850000e-01, 3.500000e-02, 0.000000e+00, 9.824577e-01 
9.950000e-01, 3.500000e-02, 0.000000e+00, 9.783120e-01 
1.005000e+00, 3.500000e-02, 0.000000e+00, 9.734431e-01 
1.015000e+00, 3.500000e-02, 0.000000e+00, 9.680800e-01 
1.025000e+00, 3.500000e-02, 0.000000e+00, 9.624235e-01 
1.035000e+00, 3.500000e-02, 0.000000e+00, 9.553805e-01 
1.045000e+00, 3.500000e-02, 0.000000e+00, 9.436510e-01 
1.055000e+00, 3.500000e-02, 0.000000e+00, 9.240875e-01 
1.065000e+00, 3.500000e-02, 0.000000e+00, 8.954769e-01 
1.075000e+00, 3.500000e-02, 0.000000e+00, 8.585885e-01 
1.085000e+00, 3.500000e-02, 0.000000e+00, 8.238498e-01 
1.095000e+00, 3.500000e-02, 0.000000e+00, 8.085363e-01 
1.105000e+00, 3.500000e-02, 0.000000e+00, 8.085784e-01 
1.115000e+00, 3.500000e-02, 0.000000e+00, 8.109214e-01 
1.125000e+00, 3.500000e-02, 0.000000e+00, 8.109512e-01 
1.135000e+00, 3.500000e-02, 0.000000e+00, 8.084452e-01 
1.145000e+00, 3.500000e-02, 0.000000e+00, 8.039892e-01 
1.155000e+00, 3.500000e-02, 0.000000e+00, 7.983343e-01 
1.165000e+00, 3.500000e-02, 0.000000e+00, 7.923982e-01 
1.175000e+00, 3.500000e-02, 0.000000e+00, 7.871993e-01 
1.185000e+00, 3.500000e-02, 0.000000e+00, 7.834580e-01 
1.195000e+00, 3.500000e-02, 0.000000e+00, 7.814885e-01 
1.205000e+00, 3.500000e-02, 0.000000e+00, 7.813183e-01 
1.215000e+00, 3.500000e-02, 0.000000e+00, 7.825169e-01 
1.225000e+00, 3.500000e-02, 0.000000e+00, 7.842192e-01 
1.235000e+00, 3.500000e-02, 0.000000e+00, 7.854024e-01 
1.245000e+00, 3.500000e-02, 0.000000e+00, 7.855480e-01 
1.255000e+00, 3.500000e-02, 0.000000e+00, 7.846559e-01 
1.265000e+00, 3.500000e-02, 0.000000e+00, 7.828891e-01 
1.275000e+00, 3.500000e-02, 0.000000e+00, 7.805467e-01 
1.285000e+00, 3.500000e-02, 0.000000e+00, 7.780110e-01 
