# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, mob_C, imm_C, diss_C, seal_C, M_C 
8.640117e+04, 1.098393e+05, 1.039651e+05, 0.000000e+00, 0.000000e+00, 5.536062e-44, 1.184073e-57, 0.000000e+00, 0.000000e+00, 2.696135e-96, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.163747e-50, 0.000000e+00, 0.000000e+00   
8.700000e+04, 1.098463e+05, 1.039692e+05, 0.000000e+00, 0.000000e+00, 2.618055e-21, 7.549117e-26, 0.000000e+00, 0.000000e+00, 1.567571e-31, 6.826815e-40, 0.000000e+00, 0.000000e+00, 2.563535e-21, 1.786619e-66, 0.000000e+00   
8.760000e+04, 1.098476e+05, 1.039699e+05, 0.000000e+00, 0.000000e+00, 3.646337e-07, 1.001239e-08, 0.000000e+00, 0.000000e+00, 4.541330e-28, 1.980980e-35, 0.000000e+00, 0.000000e+00, 1.054283e-09, 1.865618e-62, 0.000000e+00   
8.820000e+04, 1.098476e+05, 1.039697e+05, 6.166537e-06, 1.938764e-05, 8.281873e-05, 5.539307e-06, 0.000000e+00, 0.000000e+00, 4.547647e-26, 4.148609e-35, 0.000000e+00, 0.000000e+00, 5.308737e-06, 1.184184e-44, 0.000000e+00   
8.880000e+04, 1.098517e+05, 1.039713e+05, 1.957646e-05, 4.803572e-05, 1.914202e-04, 1.695526e-05, 0.000000e+00, 0.000000e+00, 7.064220e-25, 6.615203e-35, 0.000000e+00, 9.360582e-07, 1.354833e-05, 2.835632e-43, 0.000000e+00   
8.940000e+04, 1.098512e+05, 1.039710e+05, 3.624637e-05, 7.842139e-05, 3.044705e-04, 3.159367e-05, 0.000000e+00, 0.000000e+00, 3.648629e-24, 8.365249e-35, 0.000000e+00, 1.488148e-06, 1.778884e-05, 1.810728e-42, 0.000000e+00   
9.000000e+04, 1.098489e+05, 1.039706e+05, 5.319769e-05, 1.088337e-04, 4.207008e-04, 4.866742e-05, 0.000000e+00, 0.000000e+00, 1.212341e-23, 9.894852e-35, 0.000000e+00, 1.832264e-06, 1.981507e-05, 6.931877e-42, 0.000000e+00   
9.060000e+04, 1.098483e+05, 1.039709e+05, 7.168373e-05, 1.394996e-04, 5.373238e-04, 6.891432e-05, 0.000000e+00, 0.000000e+00, 3.311989e-23, 1.487785e-34, 0.000000e+00, 1.978291e-06, 2.093264e-05, 2.068703e-41, 0.000000e+00   
9.120000e+04, 1.098500e+05, 1.039720e+05, 9.595713e-05, 1.707523e-04, 6.482321e-04, 9.432988e-05, 0.000000e+00, 0.000000e+00, 9.563000e-23, 1.592484e-34, 0.000000e+00, 2.271181e-06, 2.117969e-05, 5.662074e-41, 0.000000e+00   
9.180000e+04, 1.098509e+05, 1.039726e+05, 1.284600e-04, 2.011571e-04, 7.515135e-04, 1.241273e-04, 0.000000e+00, 0.000000e+00, 3.161249e-22, 5.319302e-34, 0.000000e+00, 2.299191e-06, 2.129095e-05, 1.357727e-40, 0.000000e+00   
