# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, CO2tot 
5.859375e-01, 1.098393e+05, 1.039651e+05, 0.000000e+00,  0.000000e+00, 2.011666e-35, 6.610803e-81, 0.000000e+00,  0.000000e+00, 6.063746e-33, 0.000000e+00, 7.407981e-31,  1.772479e-07   
6.000000e+02, 1.098441e+05, 1.039685e+05, 1.849861e-08,  2.306925e-07, 3.351963e-06, 5.162615e-09, 0.000000e+00,  0.000000e+00, 9.087872e-33, 5.760648e-42, 6.720774e-05,  1.814967e-04   
1.200000e+03, 1.098426e+05, 1.039673e+05, 9.062745e-06,  9.945607e-06, 1.009614e-04, 9.169608e-07, 0.000000e+00,  0.000000e+00, 9.096619e-33, 5.224818e-41, 2.084848e-02,  3.629924e-04   
1.800000e+03, 1.098414e+05, 1.039667e+05, 1.559202e-05,  1.674509e-05, 2.009001e-04, 2.481752e-06, 0.000000e+00,  0.000000e+00, 1.581814e-32, 1.666657e-36, 1.012756e-01,  5.444902e-04   
2.400000e+03, 1.098406e+05, 1.039661e+05, 1.946337e-05,  2.115235e-05, 3.059480e-04, 3.998627e-06, 0.000000e+00,  0.000000e+00, 1.585906e-32, 1.667500e-36, 2.317183e-01,  7.259897e-04   
3.000000e+03, 1.098470e+05, 1.039707e+05, 3.995637e-05,  2.388513e-05, 3.967346e-04, 8.951352e-06, 0.000000e+00,  0.000000e+00, 1.622347e-32, 1.670259e-36, 3.855450e-01,  9.074654e-04   
3.600000e+03, 1.098462e+05, 1.039701e+05, 4.902735e-05,  2.995625e-05, 4.964247e-04, 1.185144e-05, 0.000000e+00,  0.000000e+00, 1.673842e-32, 1.672357e-36, 5.587927e-01,  1.088944e-03   
4.200000e+03, 1.098493e+05, 1.039722e+05, 8.687397e-05,  3.186727e-05, 5.712798e-04, 1.975931e-05, 0.000000e+00,  0.000000e+00, 1.882687e-32, 1.678841e-36, 6.940348e-01,  1.270381e-03   
4.800000e+03, 1.098389e+05, 1.039651e+05, 9.473907e-05,  3.248863e-05, 6.781348e-04, 2.089270e-05, 0.000000e+00,  0.000000e+00, 2.038057e-32, 1.680418e-36, 8.336382e-01,  1.451853e-03   
5.400000e+03, 1.098457e+05, 1.039697e+05, 1.092296e-04,  4.366548e-05, 7.666830e-04, 2.478911e-05, 0.000000e+00,  0.000000e+00, 2.383869e-32, 1.685562e-36, 9.661769e-01,  1.633319e-03   
