# t, p_bottom, p_top, mob_A, imm_A, diss_A, seal_A, mob_B, imm_B, diss_B, seal_B, M_C, CO2tot 
5.859375e-01, 1.098393e+05, 1.039651e+05, 0.000000e+00,  0.000000e+00, 3.791440e-33, 4.205003e-86, 0.000000e+00,  0.000000e+00, 1.975992e-34, 0.000000e+00, 1.720627e-28,  1.772479e-07   
6.000000e+02, 1.098443e+05, 1.039686e+05, 8.998534e-07,  1.383706e-06, 1.338034e-05, 4.996967e-08, 0.000000e+00,  0.000000e+00, 5.638629e-33, 9.592544e-38, 6.058112e-04,  1.814915e-04   
1.200000e+03, 1.098438e+05, 1.039683e+05, 1.653498e-05,  1.244628e-05, 1.227623e-04, 2.046259e-06, 0.000000e+00,  0.000000e+00, 1.123402e-32, 1.022058e-36, 1.252509e-02,  3.629813e-04   
1.800000e+03, 1.098416e+05, 1.039669e+05, 2.741760e-05,  2.039044e-05, 2.339449e-04, 4.970361e-06, 0.000000e+00,  0.000000e+00, 2.491124e-32, 2.206904e-36, 7.189462e-02,  5.444748e-04   
2.400000e+03, 1.098410e+05, 1.039664e+05, 5.788691e-05,  2.489442e-05, 3.248173e-04, 1.274852e-05, 0.000000e+00,  0.000000e+00, 7.941749e-32, 5.580259e-36, 1.706143e-01,  7.259209e-04   
3.000000e+03, 1.098527e+05, 1.039745e+05, 1.070894e-04,  3.138865e-05, 3.923560e-04, 2.433507e-05, 0.000000e+00,  0.000000e+00, 6.506830e-31, 1.360446e-35, 2.752921e-01,  9.073352e-04   
3.600000e+03, 1.098501e+05, 1.039727e+05, 1.259393e-04,  4.319856e-05, 4.872382e-04, 2.933009e-05, 0.000000e+00,  0.000000e+00, 3.362662e-30, 1.901451e-35, 3.846823e-01,  1.088782e-03   
4.200000e+03, 1.098486e+05, 1.039725e+05, 1.967318e-04,  4.482691e-05, 5.346504e-04, 4.208971e-05, 0.000000e+00,  0.000000e+00, 1.211553e-27, 3.432808e-35, 4.585277e-01,  1.270122e-03   
4.800000e+03, 1.098428e+05, 1.039680e+05, 2.009433e-04,  5.350789e-05, 6.502939e-04, 4.288654e-05, 0.000000e+00,  0.000000e+00, 1.713364e-27, 7.087271e-35, 5.571550e-01,  1.451587e-03   
5.400000e+03, 1.098534e+05, 1.039769e+05, 2.693620e-04,  6.322703e-05, 6.876343e-04, 5.484189e-05, 0.000000e+00,  0.000000e+00, 1.606862e-25, 8.965795e-35, 6.352131e-01,  1.632992e-03   
6.000000e+03, 1.098407e+05, 1.039663e+05, 3.160893e-04,  6.739380e-05, 7.536471e-04, 5.993643e-05, 0.000000e+00,  0.000000e+00, 1.777298e-24, 1.026438e-34, 7.186311e-01,  1.814308e-03   
6.600000e+03, 1.098519e+05, 1.039763e+05, 3.340295e-04,  8.539588e-05, 8.382790e-04, 6.255773e-05, 0.000000e+00,  0.000000e+00, 5.491610e-24, 1.125407e-34, 8.206016e-01,  1.995771e-03   
7.200000e+03, 1.098551e+05, 1.039793e+05, 4.267863e-04,  8.771427e-05, 8.508026e-04, 7.389271e-05, 0.000000e+00,  0.000000e+00, 3.508518e-22, 1.634970e-34, 8.716779e-01,  2.177110e-03   
